106	2	1773
106	3	2333
106	0	1911
106	4	2466
106	1	2415
1773	6	2333
2333	5	2466
1911	7	2466
2466	5	2415
1145	2	1570
1145	3	2099
1145	0	1911
1145	4	2466
1145	1	2408
1570	6	2099
2099	5	2466
1911	7	2466
2466	5	2408
1178	2	1750
1178	3	1974
1178	0	1911
1178	4	2466
1750	6	1974
1974	5	2466
1911	7	2466
1208	2	1852
1208	3	2291
1208	0	1911
1208	4	2465
1852	6	2291
2291	5	2465
1911	7	2465
1209	2	1881
1209	3	2268
1209	0	1911
1209	4	2466
1209	1	2437
1881	6	2268
2268	5	2466
1911	7	2466
2466	5	2437
1212	2	1675
1212	3	2112
1212	0	1911
1212	4	2465
1212	1	2408
1675	6	2112
2112	5	2465
1911	7	2465
2465	5	2408
1214	2	1626
1214	3	2076
1214	0	1911
1214	4	2465
1214	1	2408
1626	6	2076
2076	5	2465
1911	7	2465
2465	5	2408
1216	2	1893
1216	3	1951
1216	0	1911
1216	4	2465
1893	6	1951
1951	5	2465
1911	7	2465
1225	2	1673
1225	3	2047
1225	0	1911
1225	4	2465
1225	1	2383
1673	6	2047
2047	5	2465
1911	7	2465
2465	5	2383
1230	2	1518
1230	3	2109
1230	0	1911
1230	4	2466
1230	1	2439
1518	6	2109
2109	5	2466
1911	7	2466
2466	5	2439
1261	3	2080
1261	0	1911
1261	4	2466
2080	5	2466
1911	7	2466
1404	2	1517
1404	3	2080
1404	0	1911
1404	4	2466
1517	6	2080
2080	5	2466
1911	7	2466
616	2	1565
616	3	1961
616	0	1911
616	4	2466
616	1	2421
1565	6	1961
1961	5	2466
1911	7	2466
2466	5	2421
587	2	1648
587	3	2145
587	0	1911
587	4	2466
587	1	2393
1648	6	2145
2145	5	2466
1911	7	2466
2466	5	2393
624	2	1565
624	3	1961
624	0	1911
624	4	2466
624	1	2393
1565	6	1961
1961	5	2466
1911	7	2466
2466	5	2393
611	2	1565
611	3	1961
611	0	1911
611	4	2466
611	1	2431
1565	6	1961
1961	5	2466
1911	7	2466
2466	5	2431
601	2	1565
601	3	1961
601	0	1911
601	4	2466
601	1	2421
1565	6	1961
1961	5	2466
1911	7	2466
2466	5	2421
597	3	2333
597	0	1911
597	4	2467
597	1	2411
2333	5	2467
1911	7	2467
2467	5	2411
609	2	1673
609	3	2045
609	0	1911
609	4	2468
609	1	2436
1673	6	2045
2045	5	2468
1911	7	2468
2468	5	2436
582	2	1576
582	3	2167
582	0	1911
582	4	2466
582	1	2417
1576	6	2167
2167	5	2466
1911	7	2466
2466	5	2417
714	2	1713
714	3	2045
714	0	1911
714	4	2468
714	1	2442
1713	6	2045
2045	5	2468
1911	7	2468
2468	5	2442
715	2	1615
715	3	2291
715	0	1911
715	4	2466
715	1	2431
1615	6	2291
2291	5	2466
1911	7	2466
2466	5	2431
610	2	1517
610	3	2080
610	0	1911
610	4	2466
610	1	2417
1517	6	2080
2080	5	2466
1911	7	2466
2466	5	2417
716	2	1517
716	3	2080
716	0	1911
716	4	2466
716	1	2431
1517	6	2080
2080	5	2466
1911	7	2466
2466	5	2431
617	3	2048
617	0	1911
617	4	2465
617	1	2417
2048	5	2465
1911	7	2465
2465	5	2417
614	2	1517
614	3	1977
614	0	1911
614	4	2466
614	1	2417
1517	6	1977
1977	5	2466
1911	7	2466
2466	5	2417
539	2	1627
539	3	2141
539	0	1911
539	4	2466
1627	6	2141
2141	5	2466
1911	7	2466
619	2	1576
619	3	2141
619	0	1911
619	4	2466
1576	6	2141
2141	5	2466
1911	7	2466
654	2	1591
654	3	2084
654	0	1911
654	4	2466
1591	6	2084
2084	5	2466
1911	7	2466
1151	2	1852
1151	3	2291
1151	0	1911
1151	4	2465
1852	6	2291
2291	5	2465
1911	7	2465
1417	2	1633
1417	3	2056
1417	0	1911
1417	4	2466
1417	1	2461
1633	6	2056
2056	5	2466
1911	7	2466
2466	5	2461
1434	2	1702
1434	3	2089
1434	0	1911
1434	4	2466
1702	6	2089
2089	5	2466
1911	7	2466
1446	2	1798
1446	3	2109
1446	0	1911
1446	4	2466
1798	6	2109
2109	5	2466
1911	7	2466
1462	2	1803
1462	3	2185
1462	0	1911
1462	4	2466
1803	6	2185
2185	5	2466
1911	7	2466
422	2	1516
422	3	1976
422	0	1911
422	4	2466
422	1	2463
1516	6	1976
1976	5	2466
1911	7	2466
2466	5	2463
381	2	1532
381	3	2057
381	0	1911
381	4	2465
1532	6	2057
2057	5	2465
1911	7	2465
424	2	1699
424	3	2311
424	0	1911
424	4	2464
1699	6	2311
2311	5	2464
1911	7	2464
736	2	1534
736	3	1950
736	0	1911
736	4	2465
1534	6	1950
1950	5	2465
1911	7	2465
983	2	1576
983	3	2141
983	0	1911
983	4	2466
1576	6	2141
2141	5	2466
1911	7	2466
987	2	1849
987	3	2350
987	0	1911
987	4	2466
1849	6	2350
2350	5	2466
1911	7	2466
990	2	1536
990	3	2299
990	0	1911
990	4	2465
1536	6	2299
2299	5	2465
1911	7	2465
993	2	1795
993	3	2162
993	0	1911
993	4	2466
1795	6	2162
2162	5	2466
1911	7	2466
994	2	1836
994	3	2085
994	0	1911
994	4	2466
1836	6	2085
2085	5	2466
1911	7	2466
998	2	1836
998	3	2292
998	0	1911
998	4	2465
1836	6	2292
2292	5	2465
1911	7	2465
1000	2	1518
1000	3	2140
1000	0	1911
1000	4	2466
1518	6	2140
2140	5	2466
1911	7	2466
1004	2	1673
1004	3	2141
1004	0	1911
1004	4	2466
1673	6	2141
2141	5	2466
1911	7	2466
1009	3	2333
1009	0	1911
1009	4	2466
2333	5	2466
1911	7	2466
1010	2	1577
1010	0	1911
1010	4	2467
1911	7	2467
1018	2	1617
1018	3	2343
1018	0	1911
1018	4	2467
1617	6	2343
2343	5	2467
1911	7	2467
1022	2	1880
1022	3	1944
1022	0	1911
1022	4	2465
1880	6	1944
1944	5	2465
1911	7	2465
1023	2	1852
1023	3	2276
1023	0	1911
1023	4	2465
1852	6	2276
2276	5	2465
1911	7	2465
414	2	1842
414	3	2035
414	0	1911
414	4	2464
414	1	2402
1842	6	2035
2035	5	2464
1911	7	2464
2464	5	2402
390	2	1534
390	3	1950
390	0	1911
390	4	2466
1534	6	1950
1950	5	2466
1911	7	2466
1078	3	2337
1078	0	1911
1078	4	2467
2337	5	2467
1911	7	2467
1005	2	1673
1005	3	2045
1005	0	1911
1005	4	2466
1673	6	2045
2045	5	2466
1911	7	2466
1468	2	1615
1468	3	1982
1468	0	1911
1468	4	2465
1615	6	1982
1982	5	2465
1911	7	2465
1373	2	1505
1373	3	1916
1373	0	1911
1373	4	2464
1505	6	1916
1916	5	2464
1911	7	2464
1383	2	1813
1383	3	2141
1383	0	1911
1383	4	2466
1383	1	2400
1813	6	2141
2141	5	2466
1911	7	2466
2466	5	2400
1388	2	1534
1388	3	2013
1388	0	1911
1388	4	2465
1388	1	2431
1534	6	2013
2013	5	2465
1911	7	2465
2465	5	2431
1398	2	1615
1398	3	2077
1398	0	1911
1398	4	2465
1398	1	2448
1615	6	2077
2077	5	2465
1911	7	2465
2465	5	2448
164	2	1852
164	3	2291
164	0	1911
164	4	2465
1852	6	2291
2291	5	2465
1911	7	2465
68	2	1856
68	3	2333
68	0	1911
68	4	2467
1856	6	2333
2333	5	2467
1911	7	2467
28	3	2094
28	0	1911
28	4	2467
2094	5	2467
1911	7	2467
81	2	1534
81	3	1948
81	0	1911
81	4	2465
81	1	2397
1534	6	1948
1948	5	2465
1911	7	2465
2465	5	2397
566	2	1827
566	3	2333
566	0	1911
566	4	2466
1827	6	2333
2333	5	2466
1911	7	2466
1400	2	1566
1400	3	1951
1400	0	1911
1400	4	2465
1400	1	2404
1566	6	1951
1951	5	2465
1911	7	2465
2465	5	2404
446	2	1576
446	0	1911
446	4	2466
1911	7	2466
277	2	1852
277	0	1911
277	4	2465
1911	7	2465
1350	2	1500
1350	3	1993
1350	0	1911
1350	4	2466
1500	6	1993
1993	5	2466
1911	7	2466
1338	2	1505
1338	3	1944
1338	0	1911
1338	4	2464
1338	1	2383
1505	6	1944
1944	5	2464
1911	7	2464
2464	5	2383
1346	2	1854
1346	0	1911
1346	4	2466
1911	7	2466
475	2	1505
475	3	1944
475	0	1911
475	4	2464
1505	6	1944
1944	5	2464
1911	7	2464
495	2	1547
495	0	1911
495	4	2466
1911	7	2466
503	2	1619
503	0	1911
503	4	2466
1911	7	2466
544	2	1534
544	3	2289
544	0	1911
544	4	2466
1534	6	2289
2289	5	2466
1911	7	2466
573	2	1568
573	3	2114
573	0	1911
573	4	2465
1568	6	2114
2114	5	2465
1911	7	2465
576	2	1821
576	3	2060
576	0	1911
576	4	2466
1821	6	2060
2060	5	2466
1911	7	2466
581	2	1809
581	0	1911
581	4	2466
1911	7	2466
674	2	1679
674	3	2168
674	0	1911
674	4	2468
1679	6	2168
2168	5	2468
1911	7	2468
678	2	1534
678	3	2360
678	0	1911
678	4	2465
1534	6	2360
2360	5	2465
1911	7	2465
691	2	1775
691	3	2011
691	0	1911
691	4	2466
1775	6	2011
