complaint_id,head,relation,tail
JZ2021020600314,complaint:JZ2021020600314,包含实体,entity:砖混结构
JZ2021020600314,complaint:JZ2021020600314,包含隐患,hidden:违建
JZ2021020600314,complaint:JZ2021020600314,包含事件,event:空白
JZ2021020600314,complaint:JZ2021020600314,包含风险,risk:影响日常生活
JZ2021020600314,complaint:JZ2021020600314,包含后果,outcome:影响居民休息
JZ2021020600314,entity:砖混结构,易感于,hidden:违建
JZ2021020600314,hidden:违建,导致,risk:影响日常生活
JZ2021020600314,event:空白,触发风险,risk:影响日常生活
JZ2021020600314,risk:影响日常生活,导致,outcome:影响居民休息
热线-210210-012924,complaint:热线-210210-012924,包含实体,entity:餐馆
热线-210210-012924,complaint:热线-210210-012924,包含事件,event:空白
热线-210210-012924,complaint:热线-210210-012924,包含风险,risk:影响日常生活
热线-210210-012924,event:空白,触发风险,risk:影响日常生活
JZ2021031101019,complaint:JZ2021031101019,包含实体,entity:地铁站
JZ2021031101019,complaint:JZ2021031101019,包含隐患,hidden:影响周围居民休息
JZ2021031101019,complaint:JZ2021031101019,包含事件,event:空白
JZ2021031101019,complaint:JZ2021031101019,包含风险,risk:影响日常生活
JZ2021031101019,complaint:JZ2021031101019,包含后果,outcome:影响休息
JZ2021031101019,entity:地铁站,易感于,hidden:影响周围居民休息
JZ2021031101019,hidden:影响周围居民休息,导致,risk:影响日常生活
JZ2021031101019,event:空白,触发风险,risk:影响日常生活
JZ2021031101019,risk:影响日常生活,导致,outcome:影响休息
JZ2021031200450,complaint:JZ2021031200450,包含实体,entity:电暖气
JZ2021031200450,complaint:JZ2021031200450,包含隐患,hidden:停电
JZ2021031200450,complaint:JZ2021031200450,包含事件,event:空白
JZ2021031200450,complaint:JZ2021031200450,包含风险,risk:影响日常生活
JZ2021031200450,entity:电暖气,易感于,hidden:停电
JZ2021031200450,hidden:停电,导致,risk:影响日常生活
JZ2021031200450,event:空白,触发风险,risk:影响日常生活
JZ2021031300411,complaint:JZ2021031300411,包含实体,entity:道路
JZ2021031300411,complaint:JZ2021031300411,包含隐患,hidden:积水
JZ2021031300411,complaint:JZ2021031300411,包含事件,event:空白
JZ2021031300411,complaint:JZ2021031300411,包含风险,risk:影响出行
JZ2021031300411,entity:道路,易感于,hidden:积水
JZ2021031300411,hidden:积水,导致,risk:影响出行
JZ2021031300411,event:空白,触发风险,risk:影响出行
JZ2021031300497,complaint:JZ2021031300497,包含实体,entity:雨水管
JZ2021031300497,complaint:JZ2021031300497,包含隐患,hidden:漏雨
JZ2021031300497,complaint:JZ2021031300497,包含事件,event:空白
JZ2021031300497,complaint:JZ2021031300497,包含风险,risk:影响日常生活
JZ2021031300497,complaint:JZ2021031300497,包含后果,outcome:影响通风
JZ2021031300497,entity:雨水管,易感于,hidden:漏雨
JZ2021031300497,hidden:漏雨,导致,risk:影响日常生活
JZ2021031300497,event:空白,触发风险,risk:影响日常生活
JZ2021031300497,risk:影响日常生活,导致,outcome:影响通风
JZ2021031400015,complaint:JZ2021031400015,包含实体,entity:村口
JZ2021031400015,complaint:JZ2021031400015,包含隐患,hidden:拥堵
JZ2021031400015,complaint:JZ2021031400015,包含事件,event:空白
JZ2021031400015,complaint:JZ2021031400015,包含风险,risk:影响出行
JZ2021031400015,complaint:JZ2021031400015,包含后果,outcome:影响休息
JZ2021031400015,entity:村口,易感于,hidden:拥堵
JZ2021031400015,hidden:拥堵,导致,risk:影响出行
JZ2021031400015,event:空白,触发风险,risk:影响出行
JZ2021031400015,risk:影响出行,导致,outcome:影响休息
JZ2021031400026,complaint:JZ2021031400026,包含实体,entity:幼儿园
JZ2021031400026,complaint:JZ2021031400026,包含隐患,hidden:封上
JZ2021031400026,complaint:JZ2021031400026,包含事件,event:空白
JZ2021031400026,complaint:JZ2021031400026,包含风险,risk:影响出行
JZ2021031400026,complaint:JZ2021031400026,包含后果,outcome:影响休息
JZ2021031400026,entity:幼儿园,易感于,hidden:封上
JZ2021031400026,hidden:封上,导致,risk:影响出行
JZ2021031400026,event:空白,触发风险,risk:影响出行
JZ2021031400026,risk:影响出行,导致,outcome:影响休息
JZ2021031400043,complaint:JZ2021031400043,包含实体,entity:马路
JZ2021031400043,complaint:JZ2021031400043,包含隐患,hidden:乱停车
JZ2021031400043,complaint:JZ2021031400043,包含事件,event:空白
JZ2021031400043,complaint:JZ2021031400043,包含风险,risk:影响出行
JZ2021031400043,entity:马路,易感于,hidden:乱停车
JZ2021031400043,hidden:乱停车,导致,risk:影响出行
JZ2021031400043,event:空白,触发风险,risk:影响出行
JZ2021031500042,complaint:JZ2021031500042,包含实体,entity:杂物
JZ2021031500042,complaint:JZ2021031500042,包含隐患,hidden:堆积
JZ2021031500042,complaint:JZ2021031500042,包含事件,event:空白
JZ2021031500042,complaint:JZ2021031500042,包含风险,risk:影响出行
JZ2021031500042,complaint:JZ2021031500042,包含后果,outcome:出行不便
JZ2021031500042,entity:杂物,易感于,hidden:堆积
JZ2021031500042,hidden:堆积,导致,risk:影响出行
JZ2021031500042,event:空白,触发风险,risk:影响出行
JZ2021031500042,risk:影响出行,导致,outcome:出行不便
JZ2021031500787,complaint:JZ2021031500787,包含实体,entity:停车场
JZ2021031500787,complaint:JZ2021031500787,包含隐患,hidden:扰民
JZ2021031500787,complaint:JZ2021031500787,包含事件,event:空白
JZ2021031500787,complaint:JZ2021031500787,包含风险,risk:影响日常生活
JZ2021031500787,complaint:JZ2021031500787,包含后果,outcome:扰民
JZ2021031500787,entity:停车场,易感于,hidden:扰民
JZ2021031500787,hidden:扰民,导致,risk:影响日常生活
JZ2021031500787,event:空白,触发风险,risk:影响日常生活
JZ2021031500787,risk:影响日常生活,导致,outcome:扰民
JZ2021031600533,complaint:JZ2021031600533,包含隐患,hidden:少
JZ2021031600533,complaint:JZ2021031600533,包含事件,event:空白
JZ2021031600533,complaint:JZ2021031600533,包含风险,risk:影响日常生活
JZ2021031600533,hidden:少,导致,risk:影响日常生活
JZ2021031600533,event:空白,触发风险,risk:影响日常生活
热线-210302-034847,complaint:热线-210302-034847,包含实体,entity:停车位
热线-210302-034847,complaint:热线-210302-034847,包含隐患,hidden:少
热线-210302-034847,complaint:热线-210302-034847,包含事件,event:空白
热线-210302-034847,complaint:热线-210302-034847,包含风险,risk:影响日常生活
热线-210302-034847,entity:停车位,易感于,hidden:少
热线-210302-034847,hidden:少,导致,risk:影响日常生活
热线-210302-034847,event:空白,触发风险,risk:影响日常生活
JZ2021030200690,complaint:JZ2021030200690,包含实体,entity:地下室
JZ2021030200690,complaint:JZ2021030200690,包含隐患,hidden:住满了人
JZ2021030200690,complaint:JZ2021030200690,包含事件,event:空白
JZ2021030200690,complaint:JZ2021030200690,包含风险,risk:影响日常生活
JZ2021030200690,complaint:JZ2021030200690,包含后果,outcome:影响市容
JZ2021030200690,entity:地下室,易感于,hidden:住满了人
JZ2021030200690,hidden:住满了人,导致,risk:影响日常生活
JZ2021030200690,event:空白,触发风险,risk:影响日常生活
JZ2021030200690,risk:影响日常生活,导致,outcome:影响市容
JZ2021030200540,complaint:JZ2021030200540,包含实体,entity:房屋
JZ2021030200540,complaint:JZ2021030200540,包含隐患,hidden:无人维修
JZ2021030200540,complaint:JZ2021030200540,包含事件,event:空白
JZ2021030200540,complaint:JZ2021030200540,包含风险,risk:影响日常生活
JZ2021030200540,complaint:JZ2021030200540,包含后果,outcome:存在安全隐患
JZ2021030200540,entity:房屋,易感于,hidden:无人维修
JZ2021030200540,hidden:无人维修,导致,risk:影响日常生活
JZ2021030200540,event:空白,触发风险,risk:影响日常生活
JZ2021030200540,risk:影响日常生活,导致,outcome:存在安全隐患
JZ2021030200887,complaint:JZ2021030200887,包含实体,entity:地下室
JZ2021030200887,complaint:JZ2021030200887,包含隐患,hidden:住满了人
JZ2021030200887,complaint:JZ2021030200887,包含事件,event:空白
JZ2021030200887,complaint:JZ2021030200887,包含风险,risk:影响日常生活
JZ2021030200887,complaint:JZ2021030200887,包含后果,outcome:存在安全隐患
JZ2021030200887,entity:地下室,易感于,hidden:住满了人
JZ2021030200887,hidden:住满了人,导致,risk:影响日常生活
JZ2021030200887,event:空白,触发风险,risk:影响日常生活
JZ2021030200887,risk:影响日常生活,导致,outcome:存在安全隐患
JZ2021030200652,complaint:JZ2021030200652,包含实体,entity:地下室
JZ2021030200652,complaint:JZ2021030200652,包含隐患,hidden:住满了人
JZ2021030200652,complaint:JZ2021030200652,包含事件,event:空白
JZ2021030200652,complaint:JZ2021030200652,包含风险,risk:影响日常生活
JZ2021030200652,complaint:JZ2021030200652,包含后果,outcome:影响环境
JZ2021030200652,entity:地下室,易感于,hidden:住满了人
JZ2021030200652,hidden:住满了人,导致,risk:影响日常生活
JZ2021030200652,event:空白,触发风险,risk:影响日常生活
JZ2021030200652,risk:影响日常生活,导致,outcome:影响环境
JZ2021030200609,complaint:JZ2021030200609,包含实体,entity:地下室
JZ2021030200609,complaint:JZ2021030200609,包含隐患,hidden:住满了人
JZ2021030200609,complaint:JZ2021030200609,包含事件,event:空白
JZ2021030200609,complaint:JZ2021030200609,包含风险,risk:影响日常生活
JZ2021030200609,complaint:JZ2021030200609,包含后果,outcome:影响市容
JZ2021030200609,entity:地下室,易感于,hidden:住满了人
JZ2021030200609,hidden:住满了人,导致,risk:影响日常生活
JZ2021030200609,event:空白,触发风险,risk:影响日常生活
JZ2021030200609,risk:影响日常生活,导致,outcome:影响市容
JZ2021030200591,complaint:JZ2021030200591,包含隐患,hidden:违建
JZ2021030200591,complaint:JZ2021030200591,包含事件,event:空白
JZ2021030200591,complaint:JZ2021030200591,包含风险,risk:易发生冲突
JZ2021030200591,complaint:JZ2021030200591,包含后果,outcome:影响出行
JZ2021030200591,hidden:违建,导致,risk:易发生冲突
JZ2021030200591,event:空白,触发风险,risk:易发生冲突
JZ2021030200591,risk:易发生冲突,导致,outcome:影响出行
热线-210307-004167,complaint:热线-210307-004167,包含实体,entity:男厕所
热线-210307-004167,complaint:热线-210307-004167,包含隐患,hidden:违规吸烟
热线-210307-004167,complaint:热线-210307-004167,包含事件,event:空白
热线-210307-004167,complaint:热线-210307-004167,包含风险,risk:影响日常生活
热线-210307-004167,complaint:热线-210307-004167,包含后果,outcome:影响出行
热线-210307-004167,entity:男厕所,易感于,hidden:违规吸烟
热线-210307-004167,hidden:违规吸烟,导致,risk:影响日常生活
热线-210307-004167,event:空白,触发风险,risk:影响日常生活
热线-210307-004167,risk:影响日常生活,导致,outcome:影响出行
JZ2021030200638,complaint:JZ2021030200638,包含实体,entity:杂物
JZ2021030200638,complaint:JZ2021030200638,包含隐患,hidden:堆放
JZ2021030200638,complaint:JZ2021030200638,包含事件,event:空白
JZ2021030200638,complaint:JZ2021030200638,包含风险,risk:火灾风险
JZ2021030200638,complaint:JZ2021030200638,包含后果,outcome:影响通行
JZ2021030200638,entity:杂物,易感于,hidden:堆放
JZ2021030200638,hidden:堆放,导致,risk:火灾风险
JZ2021030200638,event:空白,触发风险,risk:火灾风险
JZ2021030200638,risk:火灾风险,导致,outcome:影响通行
JZ2021030200521,complaint:JZ2021030200521,包含实体,entity:垃圾
JZ2021030200521,complaint:JZ2021030200521,包含隐患,hidden:有恶臭
JZ2021030200521,complaint:JZ2021030200521,包含事件,event:空白
JZ2021030200521,complaint:JZ2021030200521,包含风险,risk:影响日常生活
JZ2021030200521,complaint:JZ2021030200521,包含后果,outcome:影响居民出行
JZ2021030200521,entity:垃圾,易感于,hidden:有恶臭
JZ2021030200521,hidden:有恶臭,导致,risk:影响日常生活
JZ2021030200521,event:空白,触发风险,risk:影响日常生活
JZ2021030200521,risk:影响日常生活,导致,outcome:影响居民出行
JZ2021030400770,complaint:JZ2021030400770,包含实体,entity:泡沫箱
JZ2021030400770,complaint:JZ2021030400770,包含隐患,hidden:堆放
JZ2021030400770,complaint:JZ2021030400770,包含事件,event:空白
JZ2021030400770,complaint:JZ2021030400770,包含风险,risk:火灾风险
JZ2021030400770,complaint:JZ2021030400770,包含后果,outcome:有安全隐患
JZ2021030400770,entity:泡沫箱,易感于,hidden:堆放
JZ2021030400770,hidden:堆放,导致,risk:火灾风险
JZ2021030400770,event:空白,触发风险,risk:火灾风险
JZ2021030400770,risk:火灾风险,导致,outcome:有安全隐患
JZ2021030400771,complaint:JZ2021030400771,包含实体,entity:小区
JZ2021030400771,complaint:JZ2021030400771,包含隐患,hidden:积水
JZ2021030400771,complaint:JZ2021030400771,包含事件,event:空白
JZ2021030400771,complaint:JZ2021030400771,包含风险,risk:影响日常生活
JZ2021030400771,complaint:JZ2021030400771,包含后果,outcome:影响环境
JZ2021030400771,entity:小区,易感于,hidden:积水
JZ2021030400771,hidden:积水,导致,risk:影响日常生活
JZ2021030400771,event:空白,触发风险,risk:影响日常生活
JZ2021030400771,risk:影响日常生活,导致,outcome:影响环境
JZ2021030200643,complaint:JZ2021030200643,包含实体,entity:停车位
JZ2021030200643,complaint:JZ2021030200643,包含隐患,hidden:少
JZ2021030200643,complaint:JZ2021030200643,包含事件,event:空白
JZ2021030200643,complaint:JZ2021030200643,包含风险,risk:影响日常生活
JZ2021030200643,complaint:JZ2021030200643,包含后果,outcome:影响居民出行
JZ2021030200643,entity:停车位,易感于,hidden:少
JZ2021030200643,hidden:少,导致,risk:影响日常生活
JZ2021030200643,event:空白,触发风险,risk:影响日常生活
JZ2021030200643,risk:影响日常生活,导致,outcome:影响居民出行
JZ2021030400772,complaint:JZ2021030400772,包含实体,entity:停车位
JZ2021030400772,complaint:JZ2021030400772,包含隐患,hidden:少
JZ2021030400772,complaint:JZ2021030400772,包含事件,event:空白
JZ2021030400772,complaint:JZ2021030400772,包含风险,risk:影响日常生活
